HyperBRKGAScore, HyperBRKGATime, HyperBRKGAParam, GridSearchScore, GridSearchTime, GridSearchParam, RandomSearchScore, RandomSearchTime, RandomSearchParam
0.7543478260869566, 6.125835, 21, 0.7543478260869566, 1.6406407356262205, 21, 0.7543478260869566, 0.39081811904907227, 21, 
0.7521739130434784, 5.706874, 22, 0.7543478260869566, 1.7189097404479983, 21, 0.7478260869565219, 0.3126955032348633, 21, 
0.7543478260869565, 5.797463, 6, 0.7543478260869566, 1.7370235919952393, 21, 0.7456521739130435, 0.46874785423278803, 21, 
0.7543478260869565, 5.641403, 6, 0.7543478260869566, 1.5652763843536375, 21, 0.7478260869565219, 0.34377551078796387, 21, 
0.7543478260869566, 5.688126, 21, 0.7543478260869566, 1.625293970108032, 21, 0.7521739130434784, 0.3281517028808594, 21, 
0.7543478260869566, 5.656829, 21, 0.7543478260869566, 1.5156607627868655, 21, 0.75, 0.3281095027923584, 21, 
0.7543478260869565, 5.681051, 6, 0.7543478260869566, 1.609351396560669, 21, 0.7434782608695653, 0.34375977516174316, 21, 
0.7543478260869566, 10.018324, 21, 0.7543478260869566, 1.5314803123474119, 21, 0.7521739130434784, 0.3281056880950928, 21, 
0.7543478260869566, 5.766142, 21, 0.7543478260869566, 1.6252782344818113, 21, 0.7478260869565219, 0.32812857627868647, 21, 
0.7543478260869566, 5.422443, 21, 0.7543478260869566, 1.7890191078186037, 21, 0.7456521739130435, 0.3124775886535644, 21, 
0.7543478260869566, 10.766782, 21, 0.7543478260869566, 1.4847111701965332, 21, 0.7543478260869566, 0.3124971389770508, 21, 
0.7543478260869566, 5.7754, 21, 0.7543478260869566, 1.5626182556152346, 21, 0.7434782608695653, 0.34373307228088373, 21, 
0.7543478260869565, 5.79058, 6, 0.7543478260869566, 1.5687134265899658, 21, 0.7543478260869565, 0.2812190055847168, 21, 
0.7543478260869565, 5.464993, 6, 0.7543478260869566, 1.6724736690521238, 21, 0.7543478260869566, 0.3126845359802246, 21, 
0.7543478260869566, 5.516217, 21, 0.7543478260869566, 1.6564443111419678, 21, 0.7543478260869566, 0.3281230926513672, 21, 
0.7543478260869566, 7.45387, 21, 0.7543478260869566, 1.5783073902130123, 21, 0.7543478260869565, 0.3125138282775879, 21, 
0.7543478260869566, 5.588799, 21, 0.7543478260869566, 1.7502086162567136, 21, 0.7543478260869566, 0.2968735694885254, 21, 
0.7543478260869566, 6.501072, 21, 0.7543478260869566, 1.7501294612884521, 21, 0.7543478260869566, 0.3283395767211914, 21, 
0.7543478260869566, 12.657904, 21, 0.7543478260869566, 1.5783309936523438, 21, 0.7456521739130435, 0.2812769412994385, 21, 
0.7543478260869566, 5.563276, 21, 0.7543478260869566, 1.5624792575836182, 21, 0.7543478260869566, 0.32831501960754395, 21, 
Média: 0.7542391304347824, Média: 6.62916915,, Média: 0.7543478260869564, Média: 1.6261175394058227,, Média: 0.7505434782608695, Média: 0.3305172801017761,
