,HyperBRKGAScore,HyperBRKGATime,HyperBRKGAParam,GridSearchScore,GridSearchTime,GridSearchParam,RandomSearchScore,RandomSearchTime,RandomSearchParam
0,0.7586956521739131,1.76579,"{'criterion': 'entropy', 'splitter': 'random', 'max_depth': 42, 'min_samples_split': 17, 'min_samples_leaf': 15}",0.7891304347826088,1492.9361898899074,"{'criterion': 'log_loss', 'max_depth': 10, 'min_samples_leaf': 13, 'min_samples_split': 3, 'splitter': 'random'}",0.7304347826086957,0.10939431190490723,"{'criterion': 'log_loss', 'max_depth': 10, 'min_samples_leaf': 13, 'min_samples_split': 3, 'splitter': 'random'}"
1,0.7673913043478262,1.369665,"{'criterion': 'gini', 'splitter': 'random', 'max_depth': 48, 'min_samples_split': 15, 'min_samples_leaf': 7}",0.7891304347826088,11963.24611186982,"{'criterion': 'log_loss', 'max_depth': 36, 'min_samples_leaf': 11, 'min_samples_split': 1, 'splitter': 'random'}",0.7478260869565216,0.07811212539672852,"{'criterion': 'log_loss', 'max_depth': 36, 'min_samples_leaf': 11, 'min_samples_split': 1, 'splitter': 'random'}"
2,0.7630434782608696,1.985569,"{'criterion': 'log_loss', 'splitter': 'random', 'max_depth': 9, 'min_samples_split': 1, 'min_samples_leaf': 16}",0.7934782608695652,1491.55217051506,"{'criterion': 'gini', 'max_depth': 34, 'min_samples_leaf': 11, 'min_samples_split': 11, 'splitter': 'random'}",0.7543478260869566,0.0937044620513916,"{'criterion': 'gini', 'max_depth': 34, 'min_samples_leaf': 11, 'min_samples_split': 11, 'splitter': 'random'}"
3,0.7521739130434784,1.737032,"{'criterion': 'entropy', 'splitter': 'best', 'max_depth': 2, 'min_samples_split': 14, 'min_samples_leaf': 18}",0.7891304347826088,21848.773324489594,"{'criterion': 'gini', 'max_depth': 55, 'min_samples_leaf': 13, 'min_samples_split': 11, 'splitter': 'random'}",0.7326086956521739,0.07812094688415527,"{'criterion': 'gini', 'max_depth': 55, 'min_samples_leaf': 13, 'min_samples_split': 11, 'splitter': 'random'}"
4,0.7586956521739131,1.750011,"{'criterion': 'gini', 'splitter': 'random', 'max_depth': 30, 'min_samples_split': 5, 'min_samples_leaf': 13}",0.7847826086956522,1506.5980882644653,"{'criterion': 'gini', 'max_depth': 14, 'min_samples_leaf': 18, 'min_samples_split': 11, 'splitter': 'random'}",0.7347826086956522,0.09376883506774902,"{'criterion': 'gini', 'max_depth': 14, 'min_samples_leaf': 18, 'min_samples_split': 11, 'splitter': 'random'}"
5,0.758695652173913,2.078939,"{'criterion': 'gini', 'splitter': 'best', 'max_depth': 4, 'min_samples_split': 10, 'min_samples_leaf': 19}",0.791304347826087,1490.576683759689,"{'criterion': 'log_loss', 'max_depth': 52, 'min_samples_leaf': 4, 'min_samples_split': 14, 'splitter': 'random'}",0.7304347826086957,0.04685235023498535,"{'criterion': 'log_loss', 'max_depth': 52, 'min_samples_leaf': 4, 'min_samples_split': 14, 'splitter': 'random'}"
6,0.75,1.7816,"{'criterion': 'gini', 'splitter': 'best', 'max_depth': 44, 'min_samples_split': 7, 'min_samples_leaf': 18}",0.7869565217391304,1504.607272863388,"{'criterion': 'gini', 'max_depth': 33, 'min_samples_leaf': 10, 'min_samples_split': 2, 'splitter': 'random'}",0.7434782608695653,0.10935568809509277,"{'criterion': 'gini', 'max_depth': 33, 'min_samples_leaf': 10, 'min_samples_split': 2, 'splitter': 'random'}"
7,0.7695652173913043,2.056158,"{'criterion': 'log_loss', 'splitter': 'random', 'max_depth': 55, 'min_samples_split': 18, 'min_samples_leaf': 3}",0.7934782608695652,1498.8286206722262,"{'criterion': 'entropy', 'max_depth': 45, 'min_samples_leaf': 6, 'min_samples_split': 10, 'splitter': 'random'}",0.7478260869565216,0.09374880790710449,"{'criterion': 'entropy', 'max_depth': 45, 'min_samples_leaf': 6, 'min_samples_split': 10, 'splitter': 'random'}"
8,0.7739130434782608,1.844218,"{'criterion': 'log_loss', 'splitter': 'random', 'max_depth': 16, 'min_samples_split': 16, 'min_samples_leaf': 12}",0.7826086956521741,1523.863570690155,"{'criterion': 'gini', 'max_depth': 50, 'min_samples_leaf': 15, 'min_samples_split': 15, 'splitter': 'random'}",0.7521739130434784,0.1250302791595459,"{'criterion': 'gini', 'max_depth': 50, 'min_samples_leaf': 15, 'min_samples_split': 15, 'splitter': 'random'}"
9,0.7521739130434784,1.937876,"{'criterion': 'gini', 'splitter': 'best', 'max_depth': 27, 'min_samples_split': 18, 'min_samples_leaf': 17}",0.7978260869565217,1493.8007273674011,"{'criterion': 'gini', 'max_depth': 40, 'min_samples_leaf': 11, 'min_samples_split': 10, 'splitter': 'random'}",0.7456521739130435,0.046885013580322266,"{'criterion': 'gini', 'max_depth': 40, 'min_samples_leaf': 11, 'min_samples_split': 10, 'splitter': 'random'}"
10,Média: 0.7604347826086956,Média: 1.8306858,,Média: 0.7897826086956522,Média: 4581.47827603817,,Média: 0.7419565217391304,Média: 0.08749728202819824,
11,Desvio Padrão: 0.007990752899762431,,,Desvio Padrão: 0.00447284039478574,,,Desvio Padrão: 0.009111436411014454,,
