,0,1,2,3,4,5
0,OptMethod,Algorithm,Dataset,ScoreMean,ScoreStd,TimeMean
1,0,DecisionTreeClassifier,cred,0.9098666666666666,0.000819515062870503,1512.0581963777543
2,1,DecisionTreeClassifier,cred,0.8981999999999999,0.00306392792359542,2.2379862
3,2,DecisionTreeClassifier,cred,0.8897333333333333,0.006785605679999696,0.10020139217376708
4,0,KNeighborsClassifier,cred,0.866,0.0,3645.811873960495
5,1,KNeighborsClassifier,cred,0.8637333333333335,0.0016086187618536646,36.8621756
6,2,KNeighborsClassifier,cred,0.8635333333333332,0.0018067090332602983,3.8686962127685547
7,0,LogisticRegression,cred,0.8973333333333334,0.0,4.281165647506714
8,1,LogisticRegression,cred,0.8922666666666668,0.0030983866769659653,4.440975
9,2,LogisticRegression,cred,0.8922000000000001,0.0029321546453414883,0.23110513687133788
10,0,RandomForestClassifier,cred,0.9132666666666667,0.0005837300238472576,52433.30002834797
11,1,RandomForestClassifier,cred,0.9089333333333333,0.001264911064067293,67.8808758
12,2,RandomForestClassifier,cred,0.9066666666666666,0.0014401645996461752,7.150890779495239
13,0,LinearRegression,diamond,0.906415119413564,0.0,1.325453233718872
14,1,LinearRegression,diamond,0.9041442298384286,0.0,43.9639814
15,2,LinearRegression,diamond,0.906415119413564,0.0,1.6143555641174316
16,0,KNeighborsRegressor,diamond,0.9705958306151844,0.0,12464.706095159054
17,1,KNeighborsRegressor,diamond,0.9704521400692723,8.893954580281002e-05,11186.3448025
18,2,KNeighborsRegressor,diamond,0.9705429975446271,0.00010488197060892962,75.62627416849136
19,0,Lasso,diamond,0.9069124457362403,4.259632072496505e-06,29601.093414592742
20,1,Lasso,diamond,0.9069106608846045,8.45493908614442e-06,47142.7379464
21,2,Lasso,diamond,0.9068466853273993,6.595395430296143e-05,118.42680349349976
22,1,DecisionTreeRegressor,diamond,0.9759526688973583,0.0001473679896296937,1225.4631749999999
23,0,DecisionTreeRegressor,diamond,0.9760220901122503,9.86269455004088e-06,7259.744529867172
24,2,DecisionTreeRegressor,diamond,0.9733892173286252,0.00250959427195925,86.22889790534973
24,0,MLPClassifier,cred,0.8937333333333333,0.0005962847939999652,162.99807662963866
25,1,MLPClassifier,cred,0.8936,0.0010110500592068865,865.3278412
26,2,MLPClassifier,cred,0.8934666666666665,0.002512192490855486,102.613560962677
27,0,XGBClassifier,cred,0.906,0.0,2589.77525100708
28,1,XGBClassifier,cred,0.9084,0.0030404678002643425,163.4635906
29,2,XGBClassifier,cred,0.8997333333333334,0.004889898885571301,39.30037369728088
30,0,MLPRegressor,diamond,0.9603678184944199,0.0008985096275299471,4441.219473791122
31,1,MLPRegressor,diamond,0.9603465562459317,0.00029629454005288686,7341.1114482
32,2,MLPRegressor,diamond,0.9580341708580082,0.0037681712655229455,931.6880928516388
