,Score,Time,Param
0,0.906,42.545615,"{'max_depth': 4, 'max_leaves': 32, 'learning_rate': 0.003334917466441461, 'grow_policy': 'lossguide'}"
1,0.9046666666666667,38.871091,"{'max_depth': 4, 'max_leaves': 10, 'learning_rate': 0.009990692249462342, 'grow_policy': 'lossguide'}"
2,0.9113333333333333,77.814953,"{'max_depth': 5, 'max_leaves': 9, 'learning_rate': 0.0037356421907032943, 'grow_policy': 'lossguide'}"
3,0.9086666666666667,279.235147,"{'max_depth': 5, 'max_leaves': 57, 'learning_rate': 0.008053516529134268, 'grow_policy': 'lossguide'}"
4,0.9113333333333333,378.851147,"{'max_depth': 5, 'max_leaves': 55, 'learning_rate': 0.003608000520492027, 'grow_policy': 'depthwise'}"
0,Média: 0.9084,Média: 163.4635906,
1,Desvio Padrão: 0.0030404678002643425,,

