,Score,Time,Param
0,0.9705437179243142,7484.283554,"{'n_neighbors': 6, 'leaf_size': 30, 'algorithm': 'kd_tree', 'p': 1.0553177959170368}"
1,0.9704187812072531,14111.284628,"{'n_neighbors': 6, 'leaf_size': 25, 'algorithm': 'ball_tree', 'p': 1.089942676814257}"
2,0.9703438577060727,12224.441074,"{'n_neighbors': 11, 'leaf_size': 40, 'algorithm': 'brute', 'p': 1.039344427207485}"
3,0.970502203439449,10925.369954,"{'n_neighbors': 6, 'leaf_size': 15, 'algorithm': 'brute', 'p': 1.0670287252252844}"
4,Média: 0.9704521400692723,Média: 11186.3448025,
5,Desvio Padrão: 8.893954580281002e-05,,
